SMILES,TITLE
C[NH2+]CC(=O)NCCc1cc2ccccc2[nH]1,s_240690b____11689208____7368582
CC(C(=O)OC)[NH2+]Cc1cc2c([nH]1)cccc2OC,s_270004____9315696____15269820
CN(C(=O)NCCc1c[nH]c2c1ccc(c2)OC)OC,s_2708____13978848____8739002
CC#CC(=O)NCCc1c[nH]c2c1c(ccc2)C,s_22____3219394____9296322
CCOc1cccc2c1c(c[nH]2)CCNC(=O)COC,s_22____9226532____59039
CC=CC(=O)NC(C)(C)Cc1c[nH]c2c1ccc(c2)OC,s_273270____16380474____15281756
CC#CC(=O)NCCc1c[nH]c2c1cc(cc2)O,s_22____13909752____9296322
COc1ccc2c(c1)[nH]cc2CCNC(=O)CC3CSC3,s_22____13978824____11560700
CCOc1cccc2c1c(c[nH]2)CCNC(=O)N(C)CC#C,s_272164____14971778____9387680
CCCOCC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____2009696
COc1cccc2c1c(c[nH]2)CCNC(=O)CC[NH3+],s_240690b____13025580____3025680
CC(=O)NCCc1c[nH]c2c1cc(cc2)Br,s_270062____12854088____15585492
CCNC(=S)NCCc1c[nH]c2c1c(ccc2)OC,s_8____13025512____83696
CC(C(=O)[O-])[NH+](C)Cc1cc2cc(ccc2[nH]1)OC,s_275532____13830256____16621902
CCCNC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_512____214540____13978836
CC1(CN(C1=O)C)C[NH2+]Cc2cc3c([nH]2)cccc3OC,s_270004____14519440____15269820
COCC[NH+](Cc1cc2cc(ccc2[nH]1)OC)CC(=O)[O-],s_275532____13829952____16621902
CC(=O)CCC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____59017
COc1cccc2c1c(c[nH]2)CCNC(=O)CC(F)(F)F,s_22____13025516____1720042
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)NCC3CC3,s_512____309924____4839458
CC(CF)C(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____12111294
COc1ccc2c(c1)[nH]cc2CCNC(=O)C(=O)N,s_22____13978824____12053348
CN(CC#N)C(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_272164____14971800____17338548
CC(=O)NCCc1c[nH]c2c1c(cc(c2)F)F,s_22____15144084____58844
Cc1ccc2c(c1)[nH]cc2CCNC(=O)C(C)C,s_22____9156166____337030
CC(=O)NC(Cc1c[nH]c2c1cccc2)CO,s_22____8124972____58844
Cc1ccc2c(c1)[nH]cc2CCNC(=O)C(C)[NH3+],s_240690b____11689238____3025692
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)C(C)C,s_22____13771018____337030
CC(C)(CNC(=O)CCl)c1c[nH]c2c1ccc(c2)F,s_270062____12637938____8147258
COc1cccc2c1c(c[nH]2)CCNC(=O)NCCC=C,s_512____11969934____13025528
CSCC(=O)NCCc1c[nH]c2c1cc(cc2)F,s_22____9631354____60364
c1cc2c(cc1Br)c(c[nH]2)CCNC(=O)CON,s_240690b____12854120____13151248
CCC(=O)NCCc1c[nH]c2c1cccc2C,s_22____5635330____58887
c1ccc2c(c1)cc([nH]2)CCNC(=O)CON,s_240690b____11689208____13151248
Cc1ccc2c(c1)c(c[nH]2)CCNC(=O)CCl,s_270062____13612044____8147258
COc1cccc2c1c(c[nH]2)CCNC(=O)NCC=CBr,s_512____15075154____13025528
CC(=O)NCCc1c[nH]c2c1cccc2,s_527a____153889____156031
COc1cccc2c1[nH]cc2CCNC(=O)CSCC=C,s_22____15506616____925054
CC(C[NH2+]Cc1cc2c([nH]1)cccc2OC)O,s_270004____8299666____15269820
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)C[NH3+],s_240690b____7354388____3025698
CCc1cccc2c1[nH]cc2CCNC(=O)C#CC,s_22____4602506____9296322
Cc1cccc2c1c(c[nH]2)CCNC(=O)CSC,s_22____3219394____60364
COc1ccc2c(c1)[nH]cc2CCNC(=O)CC#N,s_22____13978824____8794444
CC=CC(=O)NCCc1c[nH]c2c1cccc2OC,s_22____15506616____12103014
c1c(cc(c2c1[nH]cc2CCNC(=O)CO)F)F,s_22____15144084____7941800
COc1cccc2c1[nH]cc2CCNC(=O)COC(F)F,s_22____15506616____10118400
CCC(=O)NCCc1cc2ccccc2[nH]1,s_22____7533902____58887
CC(CNC(=O)N(C)CCF)c1c[nH]c2c1cc(cc2)OC,s_272164____14971852____17348112
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)C3CC3,s_22____13771018____58902
c1cc2c(cc1Br)c(c[nH]2)CCNC(=O)C[NH3+],s_240690b____12854120____3025698
CCOc1cccc2c1oc(c2)C(C)NC(=O)C,s_22____130022____58844
COc1cccc2c1c(c[nH]2)CCNC(=O)NCC(=C)Br,s_512____2055224____13025528
CCCC(=O)NCCc1c[nH]c2c1c(ccc2)Br,s_22____10303762____58866
CC(Cc1c[nH]c2c1cc(cc2)F)NC(=O)C[NH2+]C,s_240690b____13913110____7368582
