SMILES,TITLE,fragments,Hybrid2,docked_fragment,site
Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,x0260,x0260,-9.186310,x0072,active-noncovalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)N(=O)=O,x0733,x0733,-9.185843,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)N(=O)=O,x1430,x1430,-9.185843,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)N(=O)=O,x1378,x1378,-9.185843,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)N(=O)=O,x1403,x1403,-9.185843,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)CCl)N(=O)=O,x0807,x0807,-9.185843,x0749,active-covalent
c1ccc(cc1)CC(=O)N2CCc3c2cccc3,x0090,x0090,-9.179364,x0749,active-covalent
CC(=O)N1CCC(CC1)c2c[nH]c3c2cccc3,x0062,x0062,-9.172703,x0072,active-noncovalent
Cc1cc(cnc1)NCc2ccncc2,x0439,x0439,-9.172688,x0678,active-noncovalent
C[NH2+][C@@H]1CCN(C1=O)c2ccccc2F,x1164,x1164,-9.170418,x0195,active-noncovalent
C[NH2+][C@@H]1CCN(C1=O)c2ccccc2F,x0061,x0061,-9.170418,x0195,active-noncovalent
COc1cccc(c1)C[NH+]2CCC(CC2)C(=O)N,x0432,x0432,-9.161798,x0434,active-noncovalent
C[NH2+]Cc1cnn(c1)c2ccccc2,x0344,x0344,-9.154862,x0749,active-covalent
COc1ccc(cc1)[C@@H](c2ccccc2)[NH3+],x0283,x0283,-9.153863,x0749,active-covalent
COc1ccc(cc1)[C@@H](c2ccccc2)[NH3+],x1169,x1169,-9.153863,x0749,active-covalent
Cn1ccc(n1)NCc2ccccc2,x0384,x0384,-9.151496,x1093,active-noncovalent
c1ccc2c(c1)ncn2Cc3ccc(cc3)C#N,x0486,x0486,-9.143545,x0749,active-covalent
c1ccc(cc1)NS(=O)(=O)c2ccc(cc2)N,x0276,x0276,-9.134903,x0678,active-noncovalent
CS(=O)(=O)Nc1ccc(cc1)c2ccccc2,x0582,x0582,-9.133917,x0161,active-noncovalent
CS(=O)(=O)Nc1ccc(cc1)c2ccccc2,x1260,x1260,-9.133917,x0161,active-noncovalent
CCOC(=O)c1cc(no1)c2ccc(cc2)F,x0673,x0673,-9.129960,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0812,x0812,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1406,x1406,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0744,x0744,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1361,x1361,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1321,x1321,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1433,x1433,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1355,x1355,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1455,x1455,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x1380,x1380,-9.127145,x0749,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0818,x0818,-9.127145,x0749,active-covalent
