SMILES,CID,IC50 (uM),IC50 (uM) - std,Average Inhibition @ 20 uM,Average Inhibition @ 20 uM - std,Average Inhibition @ 50 uM,Average Inhibition @ 50 uM - std,Trypsin IC50 (uM),Relative Solubility @ 20 uM,Relative Solubility @ 100 uM
O=C(NCCNc1cccnn1)c1ccccc1NS(=O)(=O)c1cc(F)ccc1F,BAR-COM-4e090d3a-10,,,,,,25.2,0.484,,
O=C(Cc1cncnc1)Nc1cccc(CCCc2ccccc2)c1,BAR-COM-4e090d3a-11,,,,1.12,2.19,10.1,0.911,0.96,0.94
O=C(Cc1cccnc1Cl)Nc1cccc(OCCc2ccccc2)c1,BAR-COM-4e090d3a-15,,,,1.54,1.06,6.9,0.335,0.81,0.27
CCc1nnnn1-c1ccccc1NC(=O)C1(c2cncc(Br)c2)CC1,BAR-COM-4e090d3a-16,,,,,,7.51,1.8,,
O=C(NC(Cc1ccccc1)C(=O)NCc1ccno1)OCc1ccccc1,BAR-COM-4e090d3a-19,,,,,,7.1,6.22,,
CC(C(=O)Nc1cccc(NC2CCCC2)c1)c1cnccn1,BAR-COM-4e090d3a-20,,,,-2.77,1.4,0.913,1.17,1.0,0.98
NC(=O)C1Cc2ccccc2N(CC(=O)Nc2cnccn2)C1,BAR-COM-4e090d3a-21,,,,0.0292,5.71,6.19,1.71,1.0,0.93
COc1cc(CNC(=O)Cc2ncc[nH]2)c2ccccc2n1,BAR-COM-4e090d3a-22,,,,,,-23.6,6.33,,
CC(NC(=O)c1ccccc1OC1CCCCC1)c1cnccn1,BAR-COM-4e090d3a-26,,,,,,-3.41,4.65,,
CCC(NC(=O)NCc1cnccn1)c1ccccc1OCC(=O)N1CCCC1,BAR-COM-4e090d3a-27,,,,,,1.22,0.554,,
O=C(NCc1cccnn1)NC(Cc1ccccc1)c1cccs1,BAR-COM-4e090d3a-29,,,,,,-3.45,2.61,,
O=C(CCc1cnn[nH]1)NC(Cn1cccn1)c1ccccc1,BAR-COM-4e090d3a-30,,,,-1.52,2.71,-1.11,1.55,,
CCC(NC(=O)C(C)n1cncn1)c1ccccc1OCC(=O)N1CCCC1,BAR-COM-4e090d3a-31,,,,-0.907,0.797,0.701,0.541,1.0,0.99
O=C(NCC(O)Cn1ccnn1)c1ccccc1OC1CCC1,BAR-COM-4e090d3a-34,,,,-1.11,0.298,2.04,0.416,1.0,1.0
O=C(Cc1cccnc1Br)Nc1cccc(OCCn2cncn2)c1,BAR-COM-4e090d3a-35,,,,,,13.6,1.91,,
COC(=O)C(Cc1ccccc1)C(C)NC(=O)C(C)n1ccnc1,BAR-COM-4e090d3a-36,,,,,,-2.6,2.81,,
