SMILES,TITLE,Hybrid2,docked_fragment
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,MAK-UNK-212f693e-8,-8.542832,x0831
COc1ccnc(c1)NC(=O)Cc2ccc3ccccc3c2,ALV-UNI-7ff1a6f9-47,-8.538442,x0104
Cc1ccccc1C[NH+]2CCN(CC2)C(=O)[C@H](C(C)C)F,JON-UIO-066ce08b-9,-8.529145,x1093
CC(=O)Oc1ccccc1C(=O)Nc2ncc(s2)N(=O)=O,AAR-POS-dddeddbf-4,-8.506630,x0678
CNC(=O)OC1CCN(CC1)S(=O)(=O)c2ccccc2,GIA-UNK-595fac82-4,-8.492133,x0072
COCC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-23,-8.468962,x0749
c1ccc(cc1)C(=O)N[C@H]2CCCC[C@@H]2NC(=O)c3ccncc3,GIA-UNK-d2defdc3-2,-8.447964,x0107
c1c[nH+]ccc1N2CCC(CC2)C(=O)N3CCOCC3,GIA-UNK-30c7cb75-2,-8.439287,x0072
c1cc(ccc1S(=O)(=O)c2cnc(nc2N)N)Cl,AAR-POS-dddeddbf-3,-8.429440,x0678
CC[C@H](c1ccccc1OCC(=O)N2CCCC2)NC(=O)[C@H](C)n3cncn3,BAR-COM-4e090d3a-31,-8.428527,x0195
c1ccc(cc1)N2CC[NH+](CC2)CCNC(=O)NCc3ccccn3,TRI-UNI-97428359-1,-8.423624,x0678
Cc1cc(c(c(c1C)S(=O)(=O)N2CCN(CC2)C(=O)c3cc(=O)[nH]c4c3cccc4)C)C,MAT-POS-916a2c5a-3,-8.398966,x0434
c1cc(cc(c1)NC(=O)Cc2c[nH]c3c2cccn3)C#N,DAR-DIA-23aa0b97-1,-8.394180,x0830
CS(=O)(=O)NCCc1ccccc1O,ANT-DIA-b7f58f21-3,-8.386959,x0195
c1ccc(c(c1)C(=O)NCc2cnsc2)OCC#N,BAR-COM-4e090d3a-49,-8.371911,x0830
Cc1ccncc1NC(=O)Cc2cccc(c2)C#N,TRY-UNI-714a760b-20,-8.371187,x1385
Cc1cc(c2cc(ccc2n1)OC)C(=O)NN,MAT-POS-4e253971-3,-8.344446,x0195
CC[N@@H+](C)CC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-49,-8.318925,x0104
c1ccc2cc(ccc2c1)CC(=O)Nc3cc(ccn3)C(F)(F)F,ALV-UNI-7ff1a6f9-46,-8.308216,x0161
c1c[nH+]ccc1N2CCC(CC2)C(=O)N3CCCCC3,GIA-UNK-30c7cb75-1,-8.284107,x0161
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,AAR-POS-d2a4d1df-23,-8.249612,x0830
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,LON-WEI-8f408cad-4,-8.249612,x0830
c1cc(c(c(c1)F)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,AAR-POS-d2a4d1df-32,-8.249490,x0830
c1cc(c(c(c1)F)S(=O)(=O)N2CCN(CC2)C(=O)CCl)F,LON-WEI-8f408cad-2,-8.249490,x0830
C[C@@H](c1ccc(c(c1)F)F)C(=O)N[C@@H](C)c2cccc(c2)F,JON-UIO-066ce08b-7,-8.247419,x0195
Cc1ccc(c(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)C,AAR-POS-0daf6b7e-3,-8.226967,x0830
Cc1ccc(c(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl)C,WAR-XCH-79d12f6e-6,-8.226967,x0830
